Type,Coordinates,Lat,Lon
Little Free Library,"41.790672,-72.498968",41.790672,-72.498968
Little Free Library,"41.0674087,-73.541537",41.0674087,-73.541537
Little Free Library,"41.798489,-72.3759899",41.798489,-72.3759899
Little Free Library,"41.3041471,-73.2463721",41.3041471,-73.2463721
Little Free Library,"41.326192,-71.995896",41.326192,-71.995896
Little Free Library,"41.0900402,-73.5608141",41.0900402,-73.5608141
Little Free Library,"41.0900402,-73.5608141",41.0900402,-73.5608141
Little Free Library,"41.910283,-72.76307",41.910283,-72.76307
Little Free Library,"41.5780442,-73.4102883",41.5780442,-73.4102883
Little Free Library,"41.2815316,-72.458869",41.2815316,-72.458869
Little Free Library,"41.2815316,-72.458869",41.2815316,-72.458869
Little Free Library,"41.7835472,-72.7203147",41.7835472,-72.7203147
Little Free Library,"41.7835472,-72.7203147",41.7835472,-72.7203147
Little Free Library,"41.800524,-72.726414",41.800524,-72.726414
Little Free Library,"41.86939,-72.490285",41.86939,-72.490285
Little Free Library,"41.86939,-72.490285",41.86939,-72.490285
Little Free Library,"41.8152157,-72.4605563",41.8152157,-72.4605563
Little Free Library,"41.5621137,-72.3340961",41.5621137,-72.3340961
Little Free Library,"41.2328297,-72.9983386",41.2328297,-72.9983386
Little Free Library,"41.392313,-72.9032376",41.392313,-72.9032376
Little Free Library,"41.7932145,-72.6104765",41.7932145,-72.6104765
Little Free Library,"41.8029177,-73.1207322",41.8029177,-73.1207322
Little Free Library,"41.8029177,-73.1207322",41.8029177,-73.1207322
Little Free Library,"41.3869276,-72.8018121",41.3869276,-72.8018121
Little Free Library,"41.1787347,-73.3733966",41.1787347,-73.3733966
Little Free Library,"41.3775261,-72.4892159",41.3775261,-72.4892159
Little Free Library,"41.741541,-73.346169",41.741541,-73.346169
Little Free Library,"41.3712222,-73.4122858",41.3712222,-73.4122858
Little Free Library,"41.3712222,-73.4122858",41.3712222,-73.4122858
Little Free Library,"41.3219552,-72.9663794",41.3219552,-72.9663794
Little Free Library,"41.9196899,-72.3993818",41.9196899,-72.3993818
Little Free Library,"41.43748016,-71.89116289",41.43748016,-71.89116289
Little Free Library,"41.43748016,-71.89116289",41.43748016,-71.89116289
Little Free Library,"41.3106466,-72.1416051",41.3106466,-72.1416051
Little Free Library,"41.3106466,-72.1416051",41.3106466,-72.1416051
Little Free Library,"41.7841136,-72.5345828",41.7841136,-72.5345828
Little Free Library,"41.7841136,-72.5345828",41.7841136,-72.5345828
Little Free Library,"41.7745886,-72.5221003",41.7745886,-72.5221003
Little Free Library,"41.77278,-72.55393",41.77278,-72.55393
Little Free Library,"41.770966,-72.515825",41.770966,-72.515825
Little Free Library,"41.770966,-72.515825",41.770966,-72.515825
Little Free Library,"41.352159,-72.226376",41.352159,-72.226376
Little Free Library,"41.5722674,-72.8846163",41.5722674,-72.8846163
Little Free Library,"41.5722674,-72.8846163",41.5722674,-72.8846163
Little Free Library,"41.805799,-72.524582",41.805799,-72.524582
Little Free Library,"41.805799,-72.524582",41.805799,-72.524582
Little Free Library,"41.9888686,-72.5179006",41.9888686,-72.5179006
Little Free Library,"41.1980132,-73.2357824",41.1980132,-73.2357824
Little Free Library,"41.8189868,-73.0936971",41.8189868,-73.0936971
Little Free Library,"41.8129835,-73.1324057",41.8129835,-73.1324057
Little Free Library,"41.8129835,-73.1324057",41.8129835,-73.1324057
Little Free Library,"41.9053024,-72.8534956",41.9053024,-72.8534956
Little Free Library,"41.666501,-72.630193",41.666501,-72.630193
Little Free Library,"41.9734385,-72.5285378",41.9734385,-72.5285378
Little Free Library,"41.9734385,-72.5285378",41.9734385,-72.5285378
Little Free Library,"41.7456012,-72.6989092",41.7456012,-72.6989092
Little Free Library,"41.7491691,-72.6980205",41.7491691,-72.6980205
Little Free Library,"41.7981379,-72.6037096",41.7981379,-72.6037096
Little Free Library,"41.155784,-73.223066",41.155784,-73.223066
Little Free Library,"41.155784,-73.223066",41.155784,-73.223066
Little Free Library,"41.5696491,-73.2277298",41.5696491,-73.2277298
Little Free Library,"41.5696491,-73.2277298",41.5696491,-73.2277298
Little Free Library,"41.2834,72.2834",41.2834,72.2834
Little Free Library,"41.2834,72.2834",41.2834,72.2834
Little Free Library,"41.9294257,-73.0757866",41.9294257,-73.0757866
Little Free Library,"41.9294257,-73.0757866",41.9294257,-73.0757866
Little Free Library,"41.3816612,-72.8578654",41.3816612,-72.8578654
Little Free Library,"41.192256,-73.1776223",41.192256,-73.1776223
Little Free Library,"41.192256,-73.1776223",41.192256,-73.1776223
Little Free Library,"41.3804832,-72.4341671",41.3804832,-72.4341671
Little Free Library,"41.5240808,-72.8048078",41.5240808,-72.8048078
Little Free Library,"41.5240808,-72.8048078",41.5240808,-72.8048078
Little Free Library,"41.3590026,-72.8569055",41.3590026,-72.8569055
Little Free Library,"41.542105,-72.817711",41.542105,-72.817711
Little Free Library,"41.6144483,-72.8938461",41.6144483,-72.8938461
Little Free Library,"41.763621,-72.7231504",41.763621,-72.7231504
Little Free Library,"41.763621,-72.7231504",41.763621,-72.7231504
Little Free Library,"41.7392712,-72.698274",41.7392712,-72.698274
Little Free Library,"41.4805492,-73.4094802",41.4805492,-73.4094802
Little Free Library,"41.591255,-72.8965226",41.591255,-72.8965226
Little Free Library,"41.591255,-72.8965226",41.591255,-72.8965226
Little Free Library,"41.8106666,-72.9236557",41.8106666,-72.9236557
Little Free Library,"41.5672942,-73.3676921",41.5672942,-73.3676921
Little Free Library,"41.867718,-72.842753",41.867718,-72.842753
Little Free Library,"41.867718,-72.842753",41.867718,-72.842753
Little Free Library,"41.6945651,-72.681474",41.6945651,-72.681474
Little Free Library,"41.6945651,-72.681474",41.6945651,-72.681474
Little Free Library,"41.6601032,-72.6663059",41.6601032,-72.6663059
